Hora da Leitura,Corrente,Tensão,Potência
8:8,"0,24","25,35","6,08"
8:9,"0,45","24,82","11,17"
8:10,"0,39","24,69","9,63"
8:11,"0,38","24,68","9,38"
8:12,"0,37","24,68","9,13"
8:13,"0,38","24,79","9,42"
8:14,"0,38","25,08","9,53"
8:15,"0,37","25,16","9,31"
8:16,"0,35","25,20","8,82"
8:17,"0,33","25,22","8,32"
8:18,"0,33","25,24","8,33"
8:19,"0,35","25,10","8,79"
8:20,"0,36","24,71","8,90"
8:21,"0,39","24,69","9,63"
8:22,"0,49","24,67","12,09"
8:23,"0,59","24,68","14,56"
8:24,"0,56","24,67","13,82"
8:25,"0,50","24,65","12,33"
8:26,"0,56","24,66","13,81"
8:27,"0,59","24,64","14,54"
8:28,"0,55","24,63","13,55"
8:29,"0,50","24,62","12,31"
8:30,"0,55","24,62","13,54"
8:31,"0,63","24,62","15,51"
8:32,"0,56","24,62","13,79"
8:33,"0,55","24,62","13,54"
8:34,"0,54","24,62","13,29"
8:35,"0,67","24,62","16,50"
8:36,"0,64","24,60","15,74"
8:37,"0,61","24,57","14,99"
8:38,"0,56","24,57","13,76"
8:39,"0,60","24,58","14,75"
8:40,"0,73","24,57","17,94"
8:41,"0,69","24,57","16,95"
8:42,"0,65","24,57","15,97"
8:43,"0,59","24,57","14,50"
8:44,"0,64","24,56","15,72"
8:45,"0,75","24,57","18,43"
8:46,"0,64","24,55","15,71"
8:47,"0,57","24,55","13,99"
8:48,"0,54","24,53","13,25"
8:49,"0,57","24,56","14,00"
8:50,"0,75","24,52","18,39"
8:51,"1,03","24,54","25,28"
8:52,"1,39","24,57","34,15"
8:53,"1,83","24,60","45,02"
8:54,"2,27","24,62","55,89"
8:55,"2,24","24,64","55,19"
8:56,"2,47","24,68","60,96"
8:57,"2,56","24,68","63,18"
8:58,"2,55","24,68","62,93"
8:59,"2,59","24,71","64,00"
9:0,"2,62","24,68","64,66"
9:1,"2,67","24,68","65,90"
9:2,"2,69","22,62","60,85"
9:3,"2,69","24,72","66,50"
9:4,"2,71","24,69","66,91"
9:5,"2,73","24,68","67,38"
9:6,"2,77","24,68","68,36"
9:7,"2,81","24,69","69,38"
9:8,"2,98","24,73","73,70"
9:9,"3,21","24,73","79,38"
9:10,"3,39","24,73","83,83"
9:11,"3,51","24,78","86,98"
9:12,"3,59","24,78","88,96"
